IAGA,GLON,GLAT,MLON,MLAT,Station name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CDP,256.3,31,-35.87,39.52,Chengdu,0%,0%,0%,0%,0%,0%,0%,0%,65%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
DMC,235.83,-75.25,-14.9,-65.42,Dome Concordia,0%,0%,0%,0%,0%,0%,0%,0%,0%,94%,98%,96%,100%,97%,97%,86%,97%,99%,99%,90%
LON,16.66,45.41,91.1,39.87,Lonjsko Polje,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,97%,100%
SPG,29.72,60.54,106.65,57.19,Saint Petersburg,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,88%,98%,87%
TAB,291.18,76.54,27.22,83.93,Thule Air Base,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,91%,91%,97%,55%
ROE,8.55,55.17,86.73,51.84,Roemoe,0%,0%,0%,0%,0%,0%,0%,0%,33%,85%,98%,53%,97%,99%,99%,88%,98%,97%,97%,41%
THL,290.77,77.47,29.27,84.76,Qaanag,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,98%,100%,100%,99%,98%
SVS,294.9,76.02,32.89,83.04,Savissivik,99%,95%,91%,100%,99%,76%,95%,99%,100%,15%,0%,0%,92%,96%,96%,78%,98%,96%,94%,96%
KUV,302.82,74.57,41.95,80.71,Kullorsuaq,100%,100%,84%,99%,75%,38%,95%,24%,0%,61%,94%,34%,95%,97%,97%,93%,96%,57%,87%,87%
UPN,303.85,72.78,40.2,78.96,Upernavik,98%,76%,62%,98%,94%,94%,93%,100%,100%,78%,99%,99%,96%,98%,99%,74%,96%,75%,94%,95%
UMQ,307.87,70.68,42.56,76.4,Uummannaq,98%,63%,36%,100%,99%,81%,100%,90%,2%,63%,99%,100%,84%,89%,85%,73%,95%,45%,89%,86%
GDH,306.47,69.25,39.35,75.27,Godhavn,100%,100%,100%,100%,100%,100%,100%,100%,91%,100%,100%,99%,99%,100%,99%,97%,100%,99%,99%,100%
ATU,306.43,67.93,38.14,74.01,Attu,85%,99%,59%,99%,99%,97%,99%,88%,89%,0%,0%,0%,95%,82%,98%,90%,87%,99%,87%,89%
STF,309.28,67.02,40.83,72.66,Kangerlussuaq,98%,84%,87%,100%,100%,100%,100%,99%,100%,92%,99%,99%,91%,96%,98%,94%,98%,99%,77%,99%
SKT,307.1,65.42,37.16,71.46,Maniitsoq,38%,7%,74%,100%,100%,99%,78%,58%,68%,74%,95%,99%,94%,94%,97%,97%,98%,97%,91%,92%
GHB,308.27,64.17,37.79,70.01,Nuuk,94%,99%,100%,94%,99%,43%,39%,0%,0%,63%,98%,98%,94%,97%,97%,68%,35%,96%,97%,99%
FHB,310.32,62,38.99,67.44,Paamiut,96%,100%,100%,100%,100%,56%,0%,0%,0%,38%,40%,91%,97%,98%,97%,97%,99%,99%,94%,93%
NAQ,314.56,61.16,43.14,65.78,Narssarssuaq,100%,100%,100%,100%,100%,100%,100%,100%,100%,58%,99%,100%,98%,100%,100%,100%,100%,99%,99%,84%
NRD,343.33,81.6,101.85,81.23,Nord,51%,97%,100%,99%,100%,93%,100%,98%,90%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
DMH,341.37,76.77,84.47,77.3,Danmarkshavn,100%,100%,81%,69%,51%,9%,100%,100%,99%,9%,0%,0%,95%,96%,99%,97%,96%,97%,90%,98%
DNB,339.78,74.3,78.43,75.16,Daneborg,20%,89%,100%,62%,79%,53%,97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
SCO,338.03,70.48,71.82,71.6,Ittoqqortoormiit,99%,98%,96%,100%,100%,82%,100%,98%,78%,15%,40%,100%,98%,98%,99%,1%,0%,0%,0%,0%
AMK,322.37,65.6,53.54,68.99,Tasiilaq,97%,97%,100%,100%,99%,96%,100%,100%,98%,0%,23%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MCN,322.38,73.93,62.96,77.2,Magic1 north,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MCE,326.1,72.4,63.97,75.19,Magic1 east,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MCW,317.41,72,54.97,76.14,Magic1 west,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MCG,321.65,72.6,60.08,76.06,Magic2 GISP,23%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MCR,313.71,66.48,45.38,71.37,Magic2 Raven,69%,39%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
TDC,347.69,-37.1,49.78,-39.76,Tristan de Cunha,0%,0%,0%,0%,0%,0%,0%,0%,0%,26%,99%,97%,100%,100%,87%,96%,91%,92%,68%,56%
SUM,321.7,72.3,59.69,75.76,Summit,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,56%,98%,56%,59%
