IAGA,GLON,GLAT,MLON,MLAT,Station name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SAS,253.6,52.8,-42.76,61.25,Saskatoon,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
VLO,282.24,48.19,-0.6,58.1,Val-dOr,0%,0%,0%,0%,0%,15%,75%,58%,0%,81%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MCM,166.67,-77.85,-31.55,-79.95,McMurdo Station,98%,99%,98%,98%,100%,100%,92%,98%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
SPA,0,-90,19.43,-74.17,South Pole Station,99%,98%,93%,74%,99%,81%,83%,100%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ELT,34.95,29.67,107.11,22.63,Eilat,0%,0%,0%,100%,87%,56%,51%,98%,0%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%
GZH,113.34,23.09,-173.97,16.33,Guangzhou,0%,0%,0%,100%,100%,100%,98%,93%,98%,98%,74%,89%,83%,74%,44%,0%,0%,0%,0%,0%
MLT,30.89,29.52,103.01,21.86,Misallat,0%,0%,0%,99%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
PAL,295.95,-64.77,9.6,-50.42,Palmer,0%,0%,0%,0%,0%,58%,81%,82%,61%,95%,94%,97%,48%,97%,47%,0%,0%,0%,0%,0%
NOK,88.1,69.4,162.59,65.31,NOK,0%,0%,73%,86%,0%,0%,99%,90%,18%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HLM,210.13,61.24,-93.65,61.26,HLMS,0%,0%,0%,0%,0%,85%,77%,97%,92%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HOM,209.53,59.7,-93.38,59.54,Homer,0%,0%,0%,0%,11%,88%,56%,90%,66%,47%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
TRP,150.24,62.67,-140.76,57.13,Trapper,0%,0%,0%,0%,9%,29%,75%,55%,28%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
BGY,35.09,31.72,107.3,25.03,Bar Gyora,0%,0%,0%,0%,98%,100%,97%,92%,97%,96%,98%,93%,0%,0%,0%,0%,0%,0%,0%,0%
ESA,141.36,39.24,-146.08,32.27,Esashi,0%,0%,0%,0%,0%,100%,92%,100%,100%,100%,100%,99%,0%,0%,0%,0%,0%,0%,0%,0%
GCK,20.77,44.63,94.66,39.08,Grocka,0%,0%,0%,0%,0%,98%,91%,100%,93%,94%,97%,94%,100%,61%,84%,64%,69%,96%,93%,98%
KNZ,48.85,55.83,122.87,52.21,Zaymishche,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%
MIZ,141.2,39.11,-146.22,32.14,Mizusawa,0%,0%,0%,0%,0%,100%,100%,100%,100%,99%,99%,87%,99%,0%,0%,0%,0%,0%,0%,0%
SFS,354.06,36.67,70.43,27.26,San Fernando,0%,0%,0%,0%,0%,100%,99%,97%,98%,99%,99%,99%,99%,95%,89%,99%,99%,98%,99%,98%
SHU,199.54,55.35,-99.97,53.22,Shumagin,0%,0%,0%,0%,0%,99%,99%,99%,96%,100%,100%,96%,100%,100%,100%,92%,100%,99%,99%,99%
BFO,8.33,48.33,84.5,43.45,Black Forest,0%,0%,0%,0%,0%,0%,100%,99%,99%,96%,95%,93%,97%,7%,0%,0%,49%,80%,95%,96%
MSK,34.52,52.69,108.83,48.78,MSK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B11,336.58,-77.51,30.58,-63.88,m78-337,0%,4%,94%,96%,100%,100%,11%,93%,40%,94%,100%,100%,100%,94%,0%,0%,0%,0%,0%,0%
B12,335.88,-79.08,29.56,-65.07,m79-336,0%,5%,93%,96%,100%,87%,10%,95%,100%,100%,100%,100%,100%,94%,0%,0%,0%,0%,0%,0%
B14,337.74,-80.89,29.24,-66.64,m81-338,0%,0%,96%,93%,0%,99%,8%,95%,4%,93%,100%,100%,100%,95%,0%,0%,0%,0%,0%,0%
B15,2.97,-81.49,36.99,-68.88,m82-003,0%,4%,68%,94%,100%,100%,4%,94%,83%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B17,347.76,-82.9,30.69,-68.79,m83-348,0%,5%,100%,100%,100%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B18,336.14,-84.35,26.21,-69.4,m84-336,0%,0%,96%,98%,100%,100%,100%,98%,0%,0%,100%,100%,100%,97%,0%,0%,0%,0%,0%,0%
B19,2.06,-85.36,30.31,-71.35,m85-002,0%,4%,23%,96%,98%,98%,4%,80%,38%,93%,28%,0%,8%,0%,0%,0%,0%,0%,0%,0%
B20,95.98,-85.36,30.31,-77.77,m85-096,0%,0%,94%,100%,92%,97%,3%,100%,37%,2%,2%,100%,96%,0%,0%,0%,0%,0%,0%,0%
B21,28.41,-87,29.25,-73.51,m87-028,0%,0%,95%,100%,100%,21%,4%,100%,23%,0%,92%,100%,100%,96%,0%,0%,0%,0%,0%,0%
B22,68.17,-86.51,30.92,-75.61,m87-069,0%,0%,94%,100%,100%,98%,3%,58%,100%,32%,100%,100%,77%,96%,0%,0%,0%,0%,0%,0%
B23,316.13,-88.03,20.28,-72.31,m88-316,0%,0%,43%,95%,99%,0%,5%,64%,100%,100%,100%,100%,96%,0%,0%,0%,0%,0%,0%,0%
B03,291.88,-67.57,8.14,-53.02,m67-292,0%,0%,79%,79%,1%,0%,0%,85%,96%,0%,82%,92%,99%,98%,0%,0%,0%,0%,0%,0%
M01,263.55,46.87,-27.97,56.65,Glyndon,0%,0%,0%,0%,22%,69%,0%,99%,93%,91%,65%,42%,84%,52%,16%,47%,16%,49%,57%,0%
M02,266.75,45.56,-23.31,55.63,Cambridge,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
M03,264.4,43.6,-26.52,53.46,Worthington,0%,0%,0%,0%,0%,0%,0%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
M04,263.84,41.36,-27.14,51.15,Bennington,0%,0%,0%,0%,0%,6%,0%,86%,82%,90%,100%,100%,87%,44%,0%,0%,0%,0%,0%,0%
M05,263.7,38.5,-27.16,48.26,Americus,0%,0%,0%,0%,0%,0%,0%,0%,63%,15%,60%,46%,54%,14%,0%,0%,0%,0%,0%,0%
M06,262.6,35,-28.4,44.6,Purcell,0%,0%,0%,0%,0%,0%,0%,77%,94%,63%,43%,84%,54%,0%,36%,16%,19%,0%,0%,0%
M07,263.25,32.98,-27.45,42.65,Richardson,0%,0%,0%,0%,0%,0%,0%,0%,78%,33%,47%,0%,0%,0%,0%,0%,0%,0%,0%,0%
M08,261.39,29.44,-29.57,38.81,San Antonio,0%,0%,0%,0%,0%,7%,0%,96%,79%,38%,99%,91%,97%,81%,100%,100%,0%,0%,0%,0%
M09,262.2,26.4,-28.39,35.86,Lyford,0%,0%,0%,0%,0%,0%,0%,0%,83%,19%,92%,0%,0%,0%,0%,0%,0%,0%,0%,0%
M10,260.4,24.8,-30.44,33.92,Linares,0%,0%,0%,0%,0%,0%,0%,33%,66%,79%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
M11,256.9,20.7,-34.06,29.05,Juriquilla,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B01,296.52,-64.82,9.92,-50.49,m65-297,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B02,294,-66.03,8.85,-51.57,m66-294,0%,0%,73%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B04,41.08,-68.58,73.95,-66.55,m68-041,0%,0%,0%,91%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B05,41.32,-69.29,73.01,-67.01,m69-041,0%,0%,0%,80%,17%,4%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B06,39.4,-69.67,71.24,-66.88,m70-039,0%,0%,0%,74%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B07,44.28,-70.7,72.46,-68.37,m70-044,0%,0%,0%,0%,20%,100%,100%,67%,9%,20%,100%,97%,79%,0%,0%,0%,0%,0%,0%,0%
B08,159.03,-72.77,-65.51,-80.59,m73-159,0%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B09,42.99,-74.01,65.55,-69.9,m74-043,0%,0%,0%,0%,17%,100%,65%,100%,13%,0%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B10,39.71,-77.32,57.12,-70.97,m77-040,0%,0%,0%,36%,52%,89%,0%,6%,76%,81%,96%,100%,65%,0%,0%,0%,0%,0%,0%,0%
B24,77.77,-71.67,90.74,-76.4,m72-078,0%,0%,0%,0%,0%,0%,0%,0%,0%,83%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B13,77,-80,56.21,-77.89,m80-077,0%,0%,0%,0%,0%,0%,0%,0%,50%,66%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%
B16,347.06,-82.78,30.62,-68.66,m83-347,0%,0%,0%,0%,0%,96%,100%,7%,72%,76%,100%,100%,8%,97%,0%,0%,0%,0%,0%,0%
B27,3,-81,37.69,-68.56,m81-003,0%,0%,0%,0%,0%,0%,0%,0%,0%,94%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%
KTB,100.32,-0.2,172.8,-9.02,Kototabang,0%,0%,0%,11%,83%,74%,52%,85%,94%,92%,44%,85%,99%,43%,63%,60%,90%,58%,33%,90%
JCO,211.2,70.36,-99.58,70.79,Jim Carrigan,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,45%,100%,99%,99%,100%
SBL,299.99,43.93,22.57,50.65,Sable Carrigan,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,9%,100%,100%,99%,100%,97%
C02,265.79,57.71,-25.89,67.51,Back Lake,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15%,71%,71%,81%,39%
C13,239.97,51.88,-59.58,57.77,Wells Gray,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,48%,68%,61%,91%,87%,57%
T03,247.02,50.37,-50.67,57.63,Vulcan,0%,0%,0%,0%,0%,0%,0%,0%,0%,38%,93%,74%,99%,90%,70%,70%,60%,0%,0%,44%
C03,248.89,58.77,-50.96,66.39,Fort Chipewyan,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,38%,39%,11%
C04,251.74,50.06,-44.6,58.18,Gull Lake,0%,0%,0%,0%,0%,0%,0%,0%,0%,71%,99%,77%,86%,32%,53%,58%,44%,78%,82%,48%
C05,264.54,52.03,-27.05,61.88,Little Grand Rapids,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%,19%,28%,39%,0%,0%,9%,13%,37%,25%,0%
C06,247.03,53.35,-51.51,60.65,Ministik Lake,0%,0%,0%,0%,0%,0%,0%,0%,0%,91%,99%,95%,97%,89%,69%,76%,49%,67%,83%,71%
C07,233.31,65.26,-73.81,69.81,Norman Wells,0%,0%,0%,0%,0%,0%,0%,0%,0%,34%,56%,65%,74%,67%,49%,52%,63%,37%,0%,11%
C10,245.79,47.66,-51.46,54.63,Polson,0%,0%,0%,0%,0%,0%,0%,0%,0%,98%,99%,48%,80%,89%,41%,39%,60%,83%,45%,43%
C08,264.92,45.87,-25.94,55.78,Osakis,0%,0%,0%,0%,0%,0%,0%,0%,0%,81%,68%,42%,29%,41%,40%,64%,28%,0%,5%,4%
C09,264.71,54.93,-27.15,64.74,Oxford House,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
C11,263.64,48.03,-27.95,57.82,Thief River Falls,0%,0%,0%,0%,0%,0%,0%,0%,0%,91%,84%,62%,99%,72%,32%,40%,0%,17%,0%,0%
C12,256.2,49.69,-38.58,58.53,Weyburn,0%,0%,0%,0%,0%,0%,0%,0%,0%,14%,57%,66%,99%,90%,49%,44%,50%,35%,0%,0%
C01,276.1,42.42,-9.81,52.76,Ann Arbor,0%,0%,0%,0%,0%,0%,0%,0%,0%,64%,77%,0%,42%,53%,64%,62%,46%,0%,0%,0%
T15,275.31,46.48,-10.83,56.8,Bay Mills,0%,0%,0%,0%,0%,12%,94%,17%,0%,0%,27%,95%,84%,83%,84%,91%,5%,0%,0%,0%
T16,240.2,39.19,-55.72,44.83,Carson City,0%,0%,0%,0%,34%,89%,93%,98%,96%,100%,97%,70%,46%,91%,92%,84%,79%,94%,41%,0%
T17,287.87,44.95,7.03,54.18,Derby,0%,0%,0%,0%,0%,12%,46%,62%,38%,74%,39%,23%,42%,29%,0%,0%,0%,0%,0%,0%
T18,259.32,46.09,-33.78,55.35,Fort Yates,0%,0%,0%,0%,0%,20%,67%,64%,66%,77%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
T19,245.33,47.61,-52,54.49,Hot Springs,0%,0%,0%,0%,22%,23%,63%,97%,70%,23%,60%,0%,0%,0%,0%,18%,0%,0%,0%,0%
T20,281.62,40.18,-2.1,50.23,Loysburg,0%,0%,0%,0%,0%,17%,99%,52%,97%,93%,86%,38%,0%,0%,0%,31%,36%,17%,39%,0%
T21,257.41,43.08,-35.94,52.02,Pine Ridge,0%,0%,0%,0%,21%,88%,76%,95%,85%,32%,98%,90%,47%,74%,0%,0%,0%,0%,0%,0%
T22,227.05,56.81,-75.6,60.09,Petersburg,0%,0%,0%,0%,18%,58%,82%,89%,65%,27%,94%,100%,51%,68%,31%,91%,72%,59%,0%,0%
T23,274.86,43.66,-11.56,54.01,Remus,0%,0%,0%,0%,0%,22%,92%,76%,96%,99%,51%,100%,63%,37%,0%,0%,0%,29%,0%,0%
T24,271.3,44.82,-16.71,55.13,Shawano,0%,0%,0%,0%,0%,20%,81%,29%,78%,88%,93%,65%,80%,95%,19%,0%,0%,0%,0%,0%
T25,241.07,45.14,-56.3,51.1,Ukiah,0%,0%,0%,0%,14%,98%,97%,86%,84%,24%,81%,93%,100%,92%,79%,93%,76%,0%,0%,0%
T26,242.15,34.2,-52.43,40.11,San Gabriel,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
T27,242.32,34.38,-52.29,40.33,Table Mountain,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
T28,299.54,53.3,23.54,60.55,Goose Bay,0%,0%,0%,0%,0%,0%,26%,52%,80%,84%,76%,38%,0%,52%,85%,33%,0%,47%,0%,0%
T29,291.6,58.1,14.1,66.76,Kuujjuaq,0%,0%,0%,0%,0%,0%,0%,14%,99%,85%,91%,85%,80%,65%,90%,45%,83%,83%,43%,0%
T30,285.58,49.81,4.35,59.35,Chibougamau,0%,0%,0%,0%,0%,0%,26%,0%,39%,59%,48%,35%,30%,84%,63%,0%,29%,66%,52%,0%
T31,280.8,56.5,-2.15,66.38,Sanikiluaq,0%,0%,0%,0%,0%,0%,0%,38%,96%,93%,88%,53%,85%,87%,11%,92%,46%,63%,98%,98%
T32,277.68,49.39,-7.23,59.6,Kapuskasing,0%,0%,0%,0%,0%,0%,62%,56%,81%,87%,96%,96%,94%,71%,84%,49%,60%,51%,59%,0%
T33,259.06,53.99,-35.38,63.23,Flin Flon/The Pas,0%,0%,0%,0%,0%,0%,98%,86%,89%,94%,87%,75%,81%,91%,45%,0%,80%,69%,44%,0%
T34,249.33,64.73,-53.34,72.2,Ekati,0%,0%,0%,0%,0%,0%,69%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
T35,249.14,63.6,-52.92,71.1,Snap Lake,0%,0%,0%,0%,0%,0%,0%,0%,0%,63%,55%,45%,89%,0%,0%,0%,0%,0%,0%,0%
T36,246.69,54.71,-52.37,61.96,Athabasca,0%,0%,0%,0%,0%,0%,0%,0%,87%,97%,99%,99%,98%,97%,97%,98%,57%,87%,100%,88%
T37,237.17,53.81,-63.47,59.16,Prince George,0%,0%,0%,0%,0%,63%,44%,95%,67%,4%,84%,90%,93%,27%,0%,16%,79%,59%,20%,0%
T38,224.78,61.01,-80,63.89,White Horse,0%,0%,0%,0%,0%,47%,81%,98%,99%,68%,92%,87%,40%,91%,97%,80%,92%,57%,0%,0%
T39,209.58,62.24,-94.67,62.2,Trapper Creek,0%,0%,0%,0%,0%,0%,0%,54%,22%,0%,89%,18%,64%,0%,39%,76%,47%,55%,70%,36%
T40,204.4,62.95,-99.39,62.04,McGrath,0%,0%,0%,0%,0%,33%,79%,77%,98%,22%,48%,69%,92%,36%,44%,14%,21%,6%,13%,0%
T41,199.56,66.97,-105.82,65.5,Kiana,0%,0%,0%,0%,0%,0%,25%,49%,99%,77%,96%,38%,40%,62%,72%,47%,73%,73%,40%,0%
T42,254.74,55.2,-41.79,63.82,La Ronge,0%,0%,0%,0%,0%,0%,0%,0%,9%,83%,93%,78%,94%,86%,96%,76%,57%,18%,0%,0%
T43,245.7,50.87,-52.44,57.88,Priddis,0%,0%,0%,0%,0%,0%,42%,0%,89%,87%,51%,29%,56%,0%,23%,68%,82%,98%,54%,0%
IZN,29.73,40.5,102.52,34.73,Iznik,0%,0%,0%,0%,0%,0%,0%,98%,96%,92%,91%,93%,96%,68%,94%,53%,16%,43%,0%,3%
PAG,24.18,47.49,98.28,42.67,Panagjurishte,0%,0%,0%,0%,0%,0%,0%,100%,99%,97%,98%,96%,100%,95%,99%,98%,96%,97%,77%,98%
HOR,15.6,77,108.73,74.45,Hornsund,0%,0%,0%,100%,99%,100%,99%,0%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
SAH,234.77,71.98,-79.4,76.39,Sachs Harbour,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
E01,23.86,41.35,97.04,35.27,Nevrokopi,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
E02,21.97,39.45,95.04,32.76,Klokotos,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
E03,24.1,38.63,96.95,31.95,Kimi,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
E04,23.93,38.08,96.74,31.26,Dionyssos,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
E05,22.95,36.72,95.68,29.46,Velies,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,26%,69%,0%,0%,0%,0%,0%,0%,0%
BRD,260.03,49.87,-33.3,59.25,Brandon,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92%,91%,91%
EUA,274.1,80,-21.47,87.92,Eureka,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ARS,58.57,56.43,132.31,52.83,Arti,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,46%,97%,99%,98%,99%,99%,100%,100%,99%
CKI,96.84,-12.19,168.74,-22.33,Cocos-Keeling Islands,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,25%
CNH,124.86,44.08,-161.45,38.24,Changchun,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,99%,100%,74%,0%,0%,0%,0%,0%
CYG,126.85,36.37,-159.84,29.97,Cheongyang,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,99%,68%,99%,99%,99%,95%
DLT,108.48,11.94,-179.05,4.34,Dalat,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,99%,99%,77%,88%,86%,93%,88%,91%
DUR,14.28,41.39,88.29,34.59,Duronia,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,98%,74%,0%,37%,97%,50%,73%,92%
GAN,73.15,0.69,145.54,-7.77,Gan,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,93%,99%,99%,100%,92%,70%,33%
JAI,75.8,26.92,149.05,21.04,Jaipur,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,99%,13%,74%,79%,97%,94%,84%,83%
KHB,134.69,47.61,-152.1,41.43,Khabarovsk,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,15%,94%,100%,100%,100%,88%
ORC,315.26,-60.74,20.34,-48.55,Orcadas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,26%,70%,97%,96%,97%,100%,0%
PEG,23.9,38.1,96.71,31.28,Pedeli,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,79%,98%,100%,97%,98%,94%,95%,82%,99%,99%
PET,158.25,52.97,-132.26,46.69,Paratunka,9%,12%,22%,94%,35%,0%,0%,0%,0%,0%,0%,100%,99%,61%,100%,100%,100%,100%,100%,100%
PIL,294.47,-31.4,4.66,-18.5,Pilar,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,27%,98%,97%,81%,69%,93%,96%,0%
WMQ,87.71,43.81,160.97,39.21,Urumqi,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,36%,28%,5%,0%,0%,0%,0%,0%
PG1,77.2,-85.5,33.63,-76.54,Antartica,0%,0%,0%,0%,0%,0%,0%,0%,60%,70%,73%,78%,77%,80%,82%,84%,74%,65%,83%,43%
PG2,57.96,-84.42,39.02,-75.22,Antartica,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%,0%,0%,32%,62%,66%,68%,57%,66%,67%,36%
PG3,37.63,-84.81,36.7,-73.5,Antartica,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,59%,68%,0%,0%,0%,67%,40%
PG4,12.25,-83.34,36.31,-70.79,Antartica,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,36%
GNG,115.71,-31.36,-172.32,-43.17,Gingin,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,99%,100%,100%,99%,99%,99%
BRZ,24.75,56.21,100.89,52.61,Birzai,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,61%,90%,0%,0%,0%,0%,0%,0%
SUW,23.18,54.01,98.87,50.18,Suwalki,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%
SZC,19.61,52.91,95.44,48.94,Szczechowo,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,54%,64%,0%,0%,0%,0%,0%,0%
ZAG,20.58,50.28,95.62,45.88,Zagorzyce,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,49%,49%,0%,0%,0%,0%,0%,0%
VYH,18.84,48.49,93.67,43.72,Vyhne,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%
WIC,15.52,47.55,90.53,42.51,Conrad Observatorium,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,28%,100%,97%,100%
CST,11.65,46.05,86.82,40.54,Castello Tesino,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%
P01,16.66,45.41,91.1,39.87,Lonjsko Polje,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,72%,0%,0%,0%,0%,0%,0%
RNC,12.08,43.97,86.79,37.85,Ranchio,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,0%,0%,0%,0%,0%,0%
SUT,20.67,-32.4,86.27,-40.73,Sutherland,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
A01,7.39,8.99,80.11,-5.98,Abuja,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,21%,63%,42%,0%,0%,0%,0%,0%
A02,2.93,36.85,77.79,27.66,Algeria,0%,0%,0%,0%,0%,0%,0%,0%,41%,82%,98%,85%,88%,80%,90%,0%,0%,0%,0%,0%
A03,11.52,3.87,84.02,-10.87,Cameroon,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,69%,59%,79%,0%,0%,0%,0%,0%
A04,39.46,14.28,111.91,5.85,Ethiopia,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,54%,60%,66%,49%,0%,0%,0%,0%,0%,0%
A05,17.58,-19.2,87.79,-30.51,Namibia,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%
A06,355.87,5.33,68.87,-8.3,Abidjan,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,27%,0%,0%,33%,8%,0%,0%,0%,0%,0%
A07,346.34,9.58,60.5,-3.1,Conakry,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,18%,15%,0%,0%,0%,0%,0%
A08,125.4,7,-162.39,-0.79,Davao,0%,0%,0%,0%,0%,31%,9%,89%,40%,53%,96%,77%,71%,99%,49%,96%,0%,0%,0%,0%
A09,120,14.58,-167.63,7.2,Manila,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
A10,319.5,-9.4,30.97,-9.7,Petrolina,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
A11,311.55,-1.45,26.33,0.68,Belem,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
A12,100.61,14.08,173.19,6.48,Bangkok,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,0%,0%,0%,0%,0%
A13,98.35,7.89,170.9,-0.32,Phuket,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%
GRK,29.38,60.27,106.26,56.91,Gorkovskaya,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
BBG,14.21,78.06,109.7,75.55,Barentsburg,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,51%,50%,98%,90%,96%,89%,98%,92%
PRG,76.23,-69.23,97.3,-74.82,Progress,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
NVL,11.83,-70.78,53.45,-63.17,Novolazorevskaya,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
WHS,224.9,60.7,-79.7,63.6,Whitehorse,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,19%,31%,0%,0%,0%,0%,0%,0%
